,Unnamed: 0,키값,연도,학교종류,등급,학교명,본분교,학교상태,설립,우편번호,주소,도로명주소,행정시,자치구,행정동,전화번호,팩스번호,홈페이지,lat,lon,geometry
0,0,BE_LiST23-0034,2013,일반대학,3.0,서울시립대학교,본교,기존,공립,,서울 동대문구 서울시립대로 163 (전농동 90번지) ,,서울특별시,동대문구,전농2동,02-6490-6114,02-2210-5576,http://www.uos.ac.kr,37.5839898437514,127.058813732892,POINT (961047.1345836892 1953935.915638481)
1,1,BE_LiST23-0035,2013,전문대학(3년제),9.0,서울여자간호대학교,본교,기존,사립,,서울 서대문구 홍제3동 서울여자간호대학,,서울특별시,서대문구,홍제3동,02-2287-1700,02-395-8018,http://www.snjc.ac.kr,37.5974176676364,126.947643790396,POINT (951240.4973972259 1955477.582024648)
2,2,BE_LiST23-0036,2013,일반대학,6.0,서울여자대학교,본교,기존,사립,,서울특별시 노원구 화랑로 621 서울여자대학교,,서울특별시,노원구,공릉2동,02-970-5114,02-978-7931,http://www.swu.ac.kr,37.62615297260307,127.09316298438938,POINT (964100.1538922507 1958600.029298082)
3,3,BE_LiST23-0037,2013,전문대학(2년제),9.0,서일대학교,본교,학교명 변경,사립,,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,,서울특별시,중랑구,면목3·8동,02-490-7300,02-493-2576,http://www.seoil.ac.kr,37.5864866143728,127.097976337279,POINT (964506.0488762655 1954197.400963017)
4,4,BE_LiST23-0038,2013,일반대학,9.0,성공회대학교,본교,기존,사립,,서울 구로구 항동 성공회대학교,,서울특별시,구로구,항동,02-2610-4142,02-2610-4248,http://www.skhu.ac.kr,37.48770654488821,126.82558113494811,POINT (940377.9344699204 1943376.015496159)
5,5,BE_LiST23-0039,2013,일반대학,,성균관대학교,본교,기존,사립,,서울 종로구 명륜동3가 성균관대학교,,서울특별시,종로구,혜화동,02-760-0114,,http://www.skku.edu,37.58831649367718,126.99396747284503,POINT (955324.3303448707 1954444.803589051)
6,6,BE_LiST23-0040,2013,일반대학,5.0,성신여자대학교,본교,기존,사립,,서울 성북구 동선동3가 성신여자대학교,,서울특별시,성북구,동선동,02-920-7114,02-920-2018,http://www.sungshin.ac.kr,37.5916680669509,127.022129316251,POINT (957812.5386198027 1954803.622784964)
7,7,BE_LiST23-0041,2013,일반대학,5.0,세종대학교,본교,기존,사립,,서울 광진구 군자동 세종대학교,,서울특별시,광진구,군자동,02-3408-3114,02-3408-3906,http://www.sejong.ac.kr,37.551920581618205,127.0735094176659,POINT (962328.4929439343 1950372.008010864)
8,8,BE_LiST23-0042,2013,일반대학,4.0,숙명여자대학교,본교,기존,사립,,서울 용산구 청파로47길 100 숙명여자대학교,,서울특별시,용산구,청파동,,,http://www.sookmyung.ac.kr/,37.54643849947151,126.9647258470644,POINT (952716.2155140206 1949812.953037532)
9,9,BE_LiST23-0043,2013,일반대학,5.0,숭실대학교,본교,기존,사립,,서울 동작구 상도동 511 숭실대학교,,서울특별시,동작구,상도1동,02-820-0114,,http://www.ssu.ac.kr,37.495853033944364,126.95781764313084,POINT (952073.6240478853 1944204.278978744)
10,10,BE_LiST23-0044,2013,전문대학(2년제),9.0,숭의여자대학교,본교,기존,사립,,서울특별시 중구 소파로2길 10(예장동),,서울특별시,중구,필동,02-3708-9000,02-773-2625,http://www.sewc.ac.kr,37.5572839134229,126.987469138193,POINT (954731.8331702804 1951004.999654583)
11,11,BE_LiST23-0045,2013,일반대학,1.0,연세대학교,본교,기존,사립,,서울 서대문구 신촌동 연세대학교,,서울특별시,서대문구,신촌동,02-2123-2114,02-392-0618,http://www.yonsei.ac.kr,37.5655576723744,126.938389155713,POINT (950402.4018465723 1951947.702709921)
12,12,BE_LiST23-0046,2013,일반대학,3.0,이화여자대학교,본교,기존,사립,,서울 서대문구 대현동 11-1 이화여자대학교,,서울특별시,서대문구,신촌동,02-3277-2114,02-393-5903,http://www.ewha.ac.kr,37.56498949199894,126.94852219358815,POINT (951296.9192094716 1951879.366099229)
13,13,BE_LiST23-0047,2013,전문대학(2년제),9.0,인덕대학교,본교,기존,사립,,서울 노원구 초안산로 12,,서울특별시,노원구,월계2동,02-950-7000,02-906-5340,http://www.induk.ac.kr,37.63082785304347,127.05493767196094,POINT (960729.5439634991 1959133.997672498)
14,14,BE_LiST23-0048,2013,일반대학,9.0,장로회신학대학교,본교,기존,사립,,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,,서울특별시,광진구,광장동,02-450-0700,,http://www.pcts.ac.kr,37.5503875150275,127.104085276667,POINT (965028.5247371249 1950190.109362753)
15,15,BE_LiST23-0049,2013,전문대학(3년제),9.0,적십자간호대학,본교,폐교,사립,,서울 종로구 경교장길8,,서울특별시,종로구,교남동,02-3700-3600,02-3700-3400,http://redcross.cau.ac.kr,37.5674249825638,126.966273467709,POINT (952866.1476238323 1952140.520411498)
16,16,BE_LiST23-0050,2013,일반대학,3.0,중앙대학교 서울캠퍼스,본교,기존,사립,,서울 동작구 흑석로 84,,서울특별시,동작구,흑석동,02-820-5114,,http://www.cau.ac.kr,37.504877390232885,126.9550496072659,POINT (951834.7379407171 1945206.889846571)
17,17,BE_LiST23-0051,2013,일반대학,9.0,총신대학교,본교,기존,사립,,서울 동작구 사당동 산31-3,,서울특별시,동작구,사당3동,02-3479-0200,02-536-2602,http://www.chongshin.ac.kr,37.4896760468197,126.967357782152,POINT (952913.0562202041 1943514.165856073)
18,18,BE_LiST23-0052,2013,일반대학,9.0,추계예술대학교,본교,기존,사립,,서울 서대문구 북아현동 190-1 추계예술대학교,,서울특별시,서대문구,충현동,02-362-5700,02-392-1777,http://www.chugye.ac.kr,37.5624615329189,126.953431589411,POINT (951728.8587248919 1951596.368329518)
19,19,BE_LiST23-0053,2013,방송통신대학,9.0,한국방송통신대학교,본교,기존,국립,,서울 종로구 동숭동 한국방송통신대학교,,서울특별시,종로구,성수1가2동,02-3668-4114,02-744-5882,http://www.knou.ac.kr,37.5473466763422,127.045852880825,POINT (959883.1531022888 1949876.000840997)
20,20,BE_LiST23-0054,2013,일반대학,9.0,한국성서대학교,본교,기존,사립,,서울 노원구 상계7동 한국성서대학교,,서울특별시,노원구,상계6·7동,02-950-5401,02-950-5411,http://www.bible.ac.kr,37.64899505334899,127.06434940922883,POINT (961569.3602679376 1961145.680597247)
21,21,BE_LiST23-0055,2013,각종대학(대학),9.0,한국예술종합학교,본교,기존,특별법국립,,서울 성북구 석관동 ,,서울특별시,성북구,석관동,,,,37.6061549320677,127.057395168611,POINT (960933.4767100543 1956395.616920307)
22,22,BE_LiST23-0056,2013,일반대학,3.0,한국외국어대학교,본교,기존,사립,,서울 동대문구 이문로 107,,서울특별시,동대문구,이문1동,02-2173-2114,,http://www.hufs.ac.kr,37.5977136891025,127.058946829707,POINT (961066.0358946871 1955458.455258508)
23,23,BE_LiST23-0057,2013,일반대학,9.0,한국체육대학교,본교,기존,국립,,서울 송파구 오륜동 한국체육대학교,,서울특별시,송파구,오륜동,02-410-6564,02-410-6569,http://www.knsu.ac.kr/,37.5201630106531,127.130811990731,POINT (967376.1622758294 1946827.278026713)
24,24,BE_LiST23-0058,2013,기능대학,9.0,한국폴리텍 I 대학 서울강서캠퍼스,본교,기존,사립,,서울 강서구 화곡동 산60-1,,서울특별시,강서구,우장산동,02-2186-5800,02-2186-5819,http://kangseo.kopo.ac.kr,37.54961852825523,126.8426243815202,POINT (941932.6599360188 1950234.176448469)
25,25,BE_LiST23-0059,2013,기능대학,9.0,한국폴리텍Ⅰ대학 서울정수캠퍼스,본교,기존,사립,,서울 용산구 보광로 73(보광동 238),,서울특별시,용산구,보광동,02-2001-4000,02-2001-4119,http://jungsu.kopo.ac.kr,37.5288309543011,126.996280182566,POINT (955493.1430877025 1947844.091380535)
26,26,BE_LiST23-0060,2013,일반대학,9.0,한성대학교,본교,기존,사립,,서울 성북구 삼선동3가 389 한성대학교,,서울특별시,성북구,삼선동,02-760-4231,02-745-8943,http://www.hansung.ac.kr,37.5825624632779,127.010225523923,POINT (956756.3719126616 1953798.812173337)
