,line,name,Y좌표,X좌표,geometry,행정동
0,01호선,종로3가,37.571607,126.991806,POINT (955123.4726345112 1952591.994464539),종로1·2·3·4가동
1,01호선,종로5가,37.570926,127.001849,POINT (956009.9340638698 1952511.691729874),종로5·6가동
2,01호선,동대문,37.57142,127.009745,POINT (956707.494084943 1952562.831297767),종로5·6가동
3,01호선,동묘앞,37.572627,127.016429,POINT (957298.4248585501 1952693.683352406),숭인2동
4,01호선,종각,37.570161,126.982923,POINT (954338.1630656671 1952435.847386413),종로1·2·3·4가동
5,02호선,을지로입구,37.566014,126.982618,POINT (954308.6958991543 1951975.906327138),명동
6,02호선,을지로3가,37.566295,126.99191,POINT (955129.4699438839 1952002.604582098),을지로동
7,02호선,을지로4가,37.566941,126.998079,POINT (955674.6541476132 1952071.347367762),을지로동
8,02호선,신당,37.565972,127.01782,POINT (957417.4687592915 1951954.713361346),신당동
9,03호선,경복궁,37.575762,126.97353,POINT (953512.1654431194 1953061.857535412),사직동
10,03호선,안국,37.576477,126.985443,POINT (954564.5372687263 1953135.355562073),종로1·2·3·4가동
11,03호선,종로3가,37.571607,126.991806,POINT (955123.4726345112 1952591.994464539),종로1·2·3·4가동
12,03호선,을지로3가,37.566295,126.99191,POINT (955129.4699438839 1952002.604582098),을지로동
13,03호선,무악재,37.582299,126.950291,POINT (951464.3658727232 1953798.860333043),홍제1동
14,03호선,독립문,37.574571,126.957748,POINT (952117.8256258027 1952937.647562767),천연동
15,04호선,성신여대입구,37.592624,127.016403,POINT (957307.5499962475 1954912.2667422),동선동
16,04호선,한성대입구,37.588458,127.006221,POINT (956406.2367691039 1954454.745330006),성북동
17,04호선,혜화,37.582336,127.001844,POINT (956016.2045109431 1953777.578469835),이화동
18,04호선,동대문,37.57142,127.009745,POINT (956707.494084943 1952562.831297767),종로5·6가동
19,05호선,종로3가,37.571607,126.991806,POINT (955123.4726345112 1952591.994464539),종로1·2·3·4가동
20,05호선,광화문,37.571026,126.976669,POINT (953786.4177656958 1952534.872424297),사직동
21,05호선,을지로4가,37.566941,126.998079,POINT (955674.6541476132 1952071.347367762),을지로동
22,06호선,신당,37.565972,127.01782,POINT (957417.4687592915 1951954.713361346),신당동
23,06호선,동묘앞,37.572627,127.016429,POINT (957298.4248585501 1952693.683352406),숭인2동
24,06호선,창신,37.579661,127.015241,POINT (957197.5447204586 1953474.61177932),숭인1동
25,06호선,보문,37.585286,127.019381,POINT (957566.2867427192 1954096.800392414),보문동
26,우이신설경전철,삼양사거리,37.621512,127.02048,POINT (957683.8431107318 1958115.419513683),송천동
