자치구,동,구분,연령,시점,항목
합계,합계,계,계,2020· 1/4,280126
합계,합계,계,계,2020· 2/4,264806
합계,합계,계,계,2020· 3/4,253777
합계,합계,계,계,2020· 4/4,242623
종로구,소계,계,계,2020· 1/4,10767
종로구,소계,계,계,2020· 2/4,10137
종로구,소계,계,계,2020· 3/4,9890
종로구,소계,계,계,2020· 4/4,9612
종로구,사직동,계,계,2020· 1/4,288
종로구,사직동,계,계,2020· 2/4,281
종로구,사직동,계,계,2020· 3/4,280
종로구,사직동,계,계,2020· 4/4,280
종로구,삼청동,계,계,2020· 1/4,244
종로구,삼청동,계,계,2020· 2/4,266
종로구,삼청동,계,계,2020· 3/4,270
종로구,삼청동,계,계,2020· 4/4,269
종로구,부암동,계,계,2020· 1/4,433
종로구,부암동,계,계,2020· 2/4,371
종로구,부암동,계,계,2020· 3/4,339
종로구,부암동,계,계,2020· 4/4,311
종로구,평창동,계,계,2020· 1/4,159
종로구,평창동,계,계,2020· 2/4,177
종로구,평창동,계,계,2020· 3/4,187
종로구,평창동,계,계,2020· 4/4,191
종로구,무악동,계,계,2020· 1/4,47
종로구,무악동,계,계,2020· 2/4,46
종로구,무악동,계,계,2020· 3/4,45
종로구,무악동,계,계,2020· 4/4,46
종로구,교남동,계,계,2020· 1/4,147
종로구,교남동,계,계,2020· 2/4,152
종로구,교남동,계,계,2020· 3/4,154
종로구,교남동,계,계,2020· 4/4,157
종로구,가회동,계,계,2020· 1/4,103
종로구,가회동,계,계,2020· 2/4,99
종로구,가회동,계,계,2020· 3/4,94
종로구,가회동,계,계,2020· 4/4,93
종로구,종로1·2·3·4가동,계,계,2020· 1/4,1309
종로구,종로1·2·3·4가동,계,계,2020· 2/4,1278
종로구,종로1·2·3·4가동,계,계,2020· 3/4,1212
종로구,종로1·2·3·4가동,계,계,2020· 4/4,1192
종로구,종로5·6가동,계,계,2020· 1/4,485
종로구,종로5·6가동,계,계,2020· 2/4,477
종로구,종로5·6가동,계,계,2020· 3/4,459
종로구,종로5·6가동,계,계,2020· 4/4,414
종로구,이화동,계,계,2020· 1/4,632
종로구,이화동,계,계,2020· 2/4,562
종로구,이화동,계,계,2020· 3/4,550
종로구,이화동,계,계,2020· 4/4,523
종로구,창신1동,계,계,2020· 1/4,858
종로구,창신1동,계,계,2020· 2/4,854
종로구,창신1동,계,계,2020· 3/4,870
종로구,창신1동,계,계,2020· 4/4,835
종로구,창신2동,계,계,2020· 1/4,1273
종로구,창신2동,계,계,2020· 2/4,1260
종로구,창신2동,계,계,2020· 3/4,1223
종로구,창신2동,계,계,2020· 4/4,1185
종로구,창신3동,계,계,2020· 1/4,173
종로구,창신3동,계,계,2020· 2/4,188
종로구,창신3동,계,계,2020· 3/4,185
종로구,창신3동,계,계,2020· 4/4,182
종로구,숭인1동,계,계,2020· 1/4,334
종로구,숭인1동,계,계,2020· 2/4,345
종로구,숭인1동,계,계,2020· 3/4,329
종로구,숭인1동,계,계,2020· 4/4,310
종로구,숭인2동,계,계,2020· 1/4,457
종로구,숭인2동,계,계,2020· 2/4,447
종로구,숭인2동,계,계,2020· 3/4,459
종로구,숭인2동,계,계,2020· 4/4,487
종로구,청운효자동,계,계,2020· 1/4,237
종로구,청운효자동,계,계,2020· 2/4,246
종로구,청운효자동,계,계,2020· 3/4,229
종로구,청운효자동,계,계,2020· 4/4,202
종로구,혜화동,계,계,2020· 1/4,3588
종로구,혜화동,계,계,2020· 2/4,3088
종로구,혜화동,계,계,2020· 3/4,3005
종로구,혜화동,계,계,2020· 4/4,2935
중구,소계,계,계,2020· 1/4,10294
중구,소계,계,계,2020· 2/4,9938
중구,소계,계,계,2020· 3/4,9521
중구,소계,계,계,2020· 4/4,9395
중구,소공동,계,계,2020· 1/4,940
중구,소공동,계,계,2020· 2/4,942
중구,소공동,계,계,2020· 3/4,920
중구,소공동,계,계,2020· 4/4,942
중구,회현동,계,계,2020· 1/4,595
중구,회현동,계,계,2020· 2/4,611
중구,회현동,계,계,2020· 3/4,621
중구,회현동,계,계,2020· 4/4,621
중구,명동,계,계,2020· 1/4,668
중구,명동,계,계,2020· 2/4,701
중구,명동,계,계,2020· 3/4,693
중구,명동,계,계,2020· 4/4,771
중구,필동,계,계,2020· 1/4,962
중구,필동,계,계,2020· 2/4,855
중구,필동,계,계,2020· 3/4,753
중구,필동,계,계,2020· 4/4,720
중구,장충동,계,계,2020· 1/4,888
중구,장충동,계,계,2020· 2/4,831
중구,장충동,계,계,2020· 3/4,810
중구,장충동,계,계,2020· 4/4,804
중구,광희동,계,계,2020· 1/4,1496
중구,광희동,계,계,2020· 2/4,1429
중구,광희동,계,계,2020· 3/4,1292
중구,광희동,계,계,2020· 4/4,1192
중구,을지로동,계,계,2020· 1/4,192
중구,을지로동,계,계,2020· 2/4,176
중구,을지로동,계,계,2020· 3/4,155
중구,을지로동,계,계,2020· 4/4,151
중구,신당5동,계,계,2020· 1/4,369
중구,신당5동,계,계,2020· 2/4,358
중구,신당5동,계,계,2020· 3/4,352
중구,신당5동,계,계,2020· 4/4,340
중구,황학동,계,계,2020· 1/4,1051
중구,황학동,계,계,2020· 2/4,1009
중구,황학동,계,계,2020· 3/4,995
중구,황학동,계,계,2020· 4/4,948
중구,중림동,계,계,2020· 1/4,317
중구,중림동,계,계,2020· 2/4,319
중구,중림동,계,계,2020· 3/4,301
중구,중림동,계,계,2020· 4/4,303
중구,신당동,계,계,2020· 1/4,1706
중구,신당동,계,계,2020· 2/4,1639
중구,신당동,계,계,2020· 3/4,1512
중구,신당동,계,계,2020· 4/4,1499
중구,다산동,계,계,2020· 1/4,525
중구,다산동,계,계,2020· 2/4,502
중구,다산동,계,계,2020· 3/4,496
중구,다산동,계,계,2020· 4/4,482
중구,약수동,계,계,2020· 1/4,210
중구,약수동,계,계,2020· 2/4,202
중구,약수동,계,계,2020· 3/4,223
중구,약수동,계,계,2020· 4/4,226
중구,청구동,계,계,2020· 1/4,213
중구,청구동,계,계,2020· 2/4,204
중구,청구동,계,계,2020· 3/4,225
중구,청구동,계,계,2020· 4/4,225
중구,동화동,계,계,2020· 1/4,162
중구,동화동,계,계,2020· 2/4,160
중구,동화동,계,계,2020· 3/4,173
중구,동화동,계,계,2020· 4/4,171
용산구,소계,계,계,2020· 1/4,16586
용산구,소계,계,계,2020· 2/4,15931
용산구,소계,계,계,2020· 3/4,15167
용산구,소계,계,계,2020· 4/4,14605
용산구,후암동,계,계,2020· 1/4,557
용산구,후암동,계,계,2020· 2/4,547
용산구,후암동,계,계,2020· 3/4,534
용산구,후암동,계,계,2020· 4/4,506
용산구,용산2가동,계,계,2020· 1/4,1427
용산구,용산2가동,계,계,2020· 2/4,1379
용산구,용산2가동,계,계,2020· 3/4,1317
용산구,용산2가동,계,계,2020· 4/4,1300
용산구,남영동,계,계,2020· 1/4,616
용산구,남영동,계,계,2020· 2/4,532
용산구,남영동,계,계,2020· 3/4,491
용산구,남영동,계,계,2020· 4/4,493
