,년도,행정구,유치원생_수,유치원학급수,초등학생수,초등학교학급수,중학생수,중학교학급수,고등학생수,고등학교학급수
0,2020,합계,74657,4102,409536,18561,207081,8662,224316,9450
1,2020,종로구,1180,64,5192,269,2793,134,8467,367
2,2020,중구,1038,72,4990,243,1845,111,6731,288
3,2020,용산구,1344,65,6870,351,3512,166,5470,255
4,2020,성동구,2110,111,10992,566,4861,219,4594,239
5,2020,광진구,2470,125,14257,639,7337,295,7378,284
6,2020,동대문구,2849,161,13157,603,6459,285,6917,306
7,2020,중랑구,2700,154,14554,696,6649,300,6150,273
8,2020,성북구,4346,234,20086,888,9526,394,8272,351
9,2020,강북구,1244,90,9913,452,6139,246,5346,212
10,2020,도봉구,2252,120,14540,689,6588,295,6533,294
11,2020,노원구,5872,337,25841,1201,15205,647,20032,847
12,2020,은평구,3551,219,20400,921,10240,431,12660,518
13,2020,서대문구,2371,114,12988,582,6057,277,5099,203
14,2020,마포구,2784,143,14375,655,7474,302,5972,236
15,2020,양천구,4150,223,23985,1010,15779,619,12351,495
16,2020,강서구,5375,295,26078,1180,10682,451,14998,664
17,2020,구로구,2905,155,18180,867,8026,348,9178,376
18,2020,금천구,1550,100,8339,443,4073,180,4085,179
19,2020,영등포구,3410,178,13537,660,5922,257,5872,256
20,2020,동작구,2846,152,15553,686,7707,319,5900,237
21,2020,관악구,2991,196,14410,694,7124,308,9176,403
22,2020,서초구,2467,137,22668,880,11108,430,9804,390
23,2020,강남구,3260,181,25905,990,15602,555,17837,717
24,2020,송파구,5355,268,31373,1406,16309,668,14537,607
25,2020,강동구,4237,208,21353,990,10064,425,10957,453
