,년도,자치구,행정동,주차장_개소,주차장_면수
0,2020,종로구,사직동,357,14146
1,2020,종로구,삼청동,172,1867
2,2020,종로구,부암동,597,3485
3,2020,종로구,평창동,1602,9614
4,2020,종로구,무악동,45,3249
5,2020,종로구,교남동,126,5261
6,2020,종로구,가회동,290,2955
7,2020,종로구,종로1·2·3·4가동,569,18146
8,2020,종로구,종로5·6가동,433,4882
9,2020,종로구,이화동,433,9590
10,2020,종로구,창신1동,154,2291
11,2020,종로구,창신2동,227,993
12,2020,종로구,창신3동,55,1781
13,2020,종로구,숭인1동,162,1831
14,2020,종로구,숭인2동,324,3551
15,2020,종로구,청운효자동,671,4771
16,2020,종로구,혜화동,894,6635
17,2020,중구,소공동,150,14076
18,2020,중구,회현동,195,12208
19,2020,중구,명동,287,13938
20,2020,중구,필동,376,5001
21,2020,중구,장충동,321,5485
22,2020,중구,광희동,280,8709
23,2020,중구,을지로동,133,4989
24,2020,중구,신당5동,386,6547
25,2020,중구,황학동,348,6226
26,2020,중구,중림동,118,5346
27,2020,중구,신당동,283,4182
28,2020,중구,다산동,665,4761
29,2020,중구,약수동,209,6144
30,2020,중구,청구동,235,5144
31,2020,중구,동화동,247,4982
32,2020,용산구,후암동,754,4853
33,2020,용산구,용산2가동,399,2068
34,2020,용산구,남영동,266,5587
35,2020,용산구,원효로2동,273,5640
36,2020,용산구,효창동,344,4049
37,2020,용산구,용문동,387,4380
38,2020,용산구,이촌1동,73,12547
39,2020,용산구,이촌2동,64,2391
40,2020,용산구,이태원1동,459,4048
41,2020,용산구,이태원2동,693,3880
42,2020,용산구,서빙고동,245,6840
43,2020,용산구,보광동,406,2661
44,2020,용산구,청파동,917,6318
45,2020,용산구,원효로1동,429,8603
46,2020,용산구,한강로동,459,26363
47,2020,용산구,한남동,1273,16642
48,2020,성동구,왕십리2동,234,5026
49,2020,성동구,마장동,718,8803
50,2020,성동구,사근동,489,7438
51,2020,성동구,행당1동,299,7568
52,2020,성동구,행당2동,90,9355
53,2020,성동구,응봉동,100,3182
54,2020,성동구,금호1가동,81,5461
55,2020,성동구,금호4가동,137,5430
56,2020,성동구,성수1가1동,592,7540
57,2020,성동구,성수1가2동,620,8894
58,2020,성동구,성수2가1동,673,8207
59,2020,성동구,성수2가3동,728,15908
60,2020,성동구,송정동,542,3106
61,2020,성동구,용답동,513,6268
