행정동,동별 지하철역 수
가락1동,3
가락2동,1
가산동,3
가양1동,3
갈현1동,2
갈현2동,1
개봉1동,1
개포2동,2
거여1동,1
공덕동,4
공릉1동,3
공릉2동,1
공항동,7
광장동,1
광희동,3
구로1동,1
구로3동,2
구로5동,1
구의2동,1
구의3동,1
금호2·3가동,1
금호4가동,1
길동,1
길음1동,1
낙성대동,1
남영동,2
노량진1동,3
녹번동,2
논현1동,1
논현2동,1
능동,3
당산1동,2
당산2동,2
대림3동,2
대방동,1
대치1동,1
대치2동,3
대흥동,3
도곡2동,3
도봉2동,3
동선동,2
둔촌1동,1
등촌1동,1
등촌3동,1
마장동,1
마천1동,1
망우본동,3
면목3·8동,1
면목4동,1
면목본동,1
명동,2
명일1동,1
명일2동,1
목1동,2
목2동,2
묵2동,1
문래동,1
문정2동,3
미아동,1
반포1동,2
반포2동,1
반포4동,3
반포본동,1
발산1동,2
방배1동,2
방배2동,1
방이1동,1
방이2동,1
방학1동,1
방화1동,1
방화2동,2
방화3동,1
보문동,2
불광1동,3
사근동,1
사당1동,2
사당2동,4
사당4동,1
사직동,2
삼성1동,2
삼성2동,7
삼양동,2
상계1동,1
상계2동,2
상계3·4동,1
상계5동,1
상계9동,1
상도1동,2
상도2동,1
상봉1동,5
상암동,1
상일동,1
서강동,2
서교동,4
서빙고동,1
서원동,1
서초1동,2
서초2동,2
서초3동,2
석관동,1
성내1동,1
성내2동,3
성북동,1
성산2동,3
성수1가1동,1
성수1가2동,1
성수2가3동,1
소공동,2
송중동,1
송천동,1
송파1동,2
수궁동,2
수서동,2
수유2동,1
수유3동,1
숭인1동,1
숭인2동,2
시흥1동,1
신길1동,2
신길6동,2
신길7동,1
신내1동,1
신당동,2
신대방1동,1
신도림동,3
신사1동,1
신사2동,1
신사동,2
신정3동,1
신정4동,1
신정7동,1
신촌동,2
쌍문3동,1
아현동,2
안암동,2
암사2동,1
압구정동,1
약수동,3
양재1동,2
양재2동,2
양평2동,1
여의동,5
역삼1동,3
염창동,1
영등포동,1
영등포본동,1
오금동,3
오류1동,1
오류2동,1
오륜동,2
옥수동,2
왕십리도선동,1
용강동,1
용답동,3
용문동,2
용산2가동,1
용신동,4
우이동,3
월계1동,4
월계2동,1
월계3동,1
월곡2동,2
을지로동,4
응봉동,1
이문1동,1
이문2동,1
이촌1동,2
이태원1동,1
이화동,1
인수동,1
인헌동,1
일원2동,2
일원본동,1
자양2동,1
자양4동,1
잠실4동,1
잠실6동,2
잠실7동,2
잠실본동,1
잠원동,1
장안1동,1
장지동,1
장충동,1
전농1동,4
정릉1동,1
정릉4동,1
제기동,1
종로1·2·3·4가동,5
종로5·6가동,3
중계2·3동,1
중곡3동,1
중화2동,3
증산동,4
진관동,1
창4동,2
천연동,1
천호1동,1
청구동,2
청룡동,1
충현동,3
필동,2
하계1동,1
한강로동,5
한남동,2
합정동,2
행당1동,4
행당2동,1
홍제1동,2
화곡1동,3
화양동,2
회현동,5
휘경1동,3
흑석동,1
