,자치구,행정동,전체평균연령,남자_평균연령,여자_평균연령,년도,분기
0,종로구,사직동,45.0,44.4,45.5,2020,1
1,종로구,삼청동,47.6,45.8,49.3,2020,1
2,종로구,부암동,44.4,43.0,45.6,2020,1
3,종로구,평창동,44.5,43.1,45.8,2020,1
4,종로구,무악동,42.6,42.5,42.7,2020,1
5,종로구,교남동,42.1,41.1,43.1,2020,1
6,종로구,가회동,46.6,45.2,47.7,2020,1
7,종로구,종로1·2·3·4가동,51.6,52.0,51.0,2020,1
8,종로구,종로5·6가동,47.0,46.7,47.4,2020,1
9,종로구,이화동,44.0,43.3,44.6,2020,1
10,종로구,창신1동,50.5,49.9,51.1,2020,1
11,종로구,창신2동,47.8,46.4,49.3,2020,1
12,종로구,창신3동,44.7,43.7,45.6,2020,1
13,종로구,숭인1동,46.2,45.2,47.1,2020,1
14,종로구,숭인2동,45.8,46.4,45.1,2020,1
15,종로구,청운효자동,43.5,42.0,44.7,2020,1
16,종로구,혜화동,41.4,40.3,42.4,2020,1
17,중구,소공동,41.9,42.7,41.2,2020,1
18,중구,회현동,51.8,52.5,51.0,2020,1
19,중구,명동,49.8,47.6,51.4,2020,1
20,중구,필동,46.5,45.1,47.9,2020,1
21,중구,장충동,42.4,41.2,43.7,2020,1
22,중구,광희동,48.8,48.5,49.1,2020,1
23,중구,을지로동,51.3,52.1,50.1,2020,1
24,중구,신당5동,44.1,43.3,44.8,2020,1
25,중구,황학동,42.8,42.6,43.1,2020,1
26,중구,중림동,43.1,42.6,43.7,2020,1
27,중구,신당동,46.0,46.0,46.0,2020,1
28,중구,다산동,45.0,43.7,46.3,2020,1
29,중구,약수동,46.2,45.1,47.3,2020,1
30,중구,청구동,45.0,43.6,46.3,2020,1
31,중구,동화동,43.9,42.7,44.9,2020,1
32,용산구,후암동,44.1,42.3,45.7,2020,1
33,용산구,용산2가동,45.8,44.0,47.5,2020,1
34,용산구,남영동,49.3,50.6,47.3,2020,1
35,용산구,원효로2동,43.3,42.9,43.7,2020,1
36,용산구,효창동,41.7,40.6,42.6,2020,1
37,용산구,용문동,43.5,42.3,44.6,2020,1
38,용산구,이촌1동,42.0,40.7,43.1,2020,1
39,용산구,이촌2동,45.8,43.9,47.5,2020,1
40,용산구,이태원1동,48.0,45.9,49.9,2020,1
41,용산구,이태원2동,45.7,44.0,47.2,2020,1
42,용산구,서빙고동,42.8,41.7,43.9,2020,1
43,용산구,보광동,46.5,44.1,48.7,2020,1
44,용산구,청파동,43.8,43.3,44.3,2020,1
45,용산구,원효로1동,40.6,40.4,40.9,2020,1
46,용산구,한강로동,44.4,44.1,44.7,2020,1
47,용산구,한남동,44.7,43.4,45.9,2020,1
48,성동구,왕십리2동,42.5,41.7,43.3,2020,1
49,성동구,마장동,43.1,42.3,43.8,2020,1
50,성동구,사근동,38.2,37.1,39.4,2020,1
51,성동구,행당1동,42.8,42.2,43.3,2020,1
52,성동구,행당2동,42.2,41.6,42.7,2020,1
53,성동구,응봉동,42.2,41.2,43.2,2020,1
54,성동구,금호1가동,42.7,41.5,43.7,2020,1
55,성동구,금호4가동,42.4,41.1,43.5,2020,1
56,성동구,성수1가1동,42.4,41.7,43.1,2020,1
57,성동구,성수1가2동,42.5,41.9,43.0,2020,1
58,성동구,성수2가1동,45.1,44.3,46.0,2020,1
59,성동구,성수2가3동,43.7,43.7,43.7,2020,1
60,성동구,송정동,44.5,43.9,45.1,2020,1
61,성동구,용답동,45.7,45.5,45.9,2020,1
62,성동구,왕십리도선동,41.3,40.7,41.8,2020,1
63,성동구,금호2·3가동,43.3,42.1,44.4,2020,1
64,성동구,옥수동,41.9,41.0,42.7,2020,1
65,광진구,화양동,37.7,38.3,37.1,2020,1
66,광진구,군자동,42.3,41.7,43.0,2020,1
67,광진구,중곡1동,43.6,43.0,44.1,2020,1
68,광진구,중곡2동,42.5,41.9,43.0,2020,1
69,광진구,중곡3동,44.4,43.5,45.4,2020,1
70,광진구,중곡4동,44.1,43.1,45.2,2020,1
71,광진구,능동,41.6,41.3,41.9,2020,1
72,광진구,구의1동,42.0,41.5,42.5,2020,1
73,광진구,구의2동,42.8,41.9,43.6,2020,1
74,광진구,구의3동,41.5,41.0,42.0,2020,1
75,광진구,광장동,38.4,37.7,39.0,2020,1
76,광진구,자양1동,42.7,41.9,43.5,2020,1
77,광진구,자양2동,42.7,41.7,43.6,2020,1
78,광진구,자양3동,41.5,40.9,42.0,2020,1
79,광진구,자양4동,46.5,45.8,47.1,2020,1
80,동대문구,회기동,40.3,39.5,41.1,2020,1
81,동대문구,휘경1동,42.5,42.1,43.0,2020,1
82,동대문구,휘경2동,41.9,40.9,42.9,2020,1
83,동대문구,청량리동,49.2,47.8,50.6,2020,1
84,동대문구,용신동,44.6,44.2,45.1,2020,1
85,동대문구,제기동,46.6,45.2,48.1,2020,1
86,동대문구,전농1동,44.3,43.6,45.1,2020,1
87,동대문구,전농2동,44.4,43.5,45.2,2020,1
88,동대문구,답십리2동,44.5,43.5,45.5,2020,1
89,동대문구,장안1동,43.4,42.9,43.9,2020,1
90,동대문구,장안2동,41.9,40.9,42.9,2020,1
91,동대문구,이문1동,42.9,41.9,43.9,2020,1
92,동대문구,이문2동,43.9,43.1,44.7,2020,1
93,동대문구,답십리1동,41.2,40.6,41.7,2020,1
94,중랑구,면목2동,45.2,44.3,46.0,2020,1
95,중랑구,면목4동,45.1,43.9,46.3,2020,1
96,중랑구,면목5동,45.1,44.5,45.8,2020,1
97,중랑구,면목7동,45.3,44.3,46.3,2020,1
98,중랑구,상봉1동,42.3,41.3,43.3,2020,1
99,중랑구,상봉2동,43.2,43.2,43.2,2020,1
100,중랑구,중화1동,43.8,42.8,44.7,2020,1
101,중랑구,중화2동,46.5,45.9,47.1,2020,1
102,중랑구,묵1동,42.6,41.9,43.3,2020,1
103,중랑구,묵2동,44.3,43.4,45.1,2020,1
