,년도,분기,자치구,행정동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대
0,2020,1,종로구,사직동,4668,2318,912,676,536,166,33
1,2020,1,종로구,삼청동,1375,723,252,186,142,46,20
2,2020,1,종로구,부암동,4346,1665,949,763,703,180,57
3,2020,1,종로구,평창동,7504,2397,1734,1495,1337,414,75
4,2020,1,종로구,무악동,3196,747,713,725,763,194,39
5,2020,1,종로구,교남동,4593,1652,1088,910,737,162,27
6,2020,1,종로구,가회동,2064,940,438,343,246,64,23
7,2020,1,종로구,종로1·2·3·4가동,5200,4115,520,290,202,51,14
8,2020,1,종로구,종로5·6가동,3402,2337,514,297,183,55,11
9,2020,1,종로구,이화동,4437,2679,794,480,344,106,25
10,2020,1,종로구,창신1동,2949,1749,582,314,210,74,17
11,2020,1,종로구,창신2동,4146,1960,909,631,457,144,34
12,2020,1,종로구,창신3동,2891,923,669,638,466,161,28
13,2020,1,종로구,숭인1동,2968,1365,653,467,351,103,23
14,2020,1,종로구,숭인2동,5796,3820,928,523,397,101,21
15,2020,1,종로구,청운효자동,5388,1986,1171,984,921,236,62
16,2020,1,종로구,혜화동,9228,5511,1474,1032,878,238,68
17,2020,1,중구,소공동,1124,620,215,164,99,18,5
18,2020,1,중구,회현동,3118,2067,443,292,231,59,14
19,2020,1,중구,명동,1569,1093,212,142,82,24,7
20,2020,1,중구,필동,2295,1437,420,213,160,52,8
21,2020,1,중구,장충동,2715,1743,420,239,218,71,18
22,2020,1,중구,광희동,2990,1944,509,281,185,51,14
23,2020,1,중구,을지로동,1355,1081,155,67,36,12,4
24,2020,1,중구,신당5동,5324,2627,1168,750,577,150,39
25,2020,1,중구,황학동,6924,3789,1481,890,579,137,36
26,2020,1,중구,중림동,5850,2506,1285,1029,792,173,47
27,2020,1,중구,신당동,4461,2790,825,427,323,68,22
28,2020,1,중구,다산동,6975,3168,1634,1047,870,184,47
29,2020,1,중구,약수동,7820,2884,2036,1538,1027,241,72
30,2020,1,중구,청구동,6350,2487,1503,1160,904,228,53
31,2020,1,중구,동화동,4175,1162,955,887,853,230,60
32,2020,1,용산구,후암동,8561,4072,1751,1371,979,287,71
33,2020,1,용산구,용산2가동,5437,2813,1203,760,490,137,23
34,2020,1,용산구,남영동,5451,4209,601,312,243,67,13
35,2020,1,용산구,원효로2동,6004,2120,1285,1191,1045,262,71
36,2020,1,용산구,효창동,4284,1472,1008,827,714,188,59
37,2020,1,용산구,용문동,5403,1979,1304,1018,828,213,44
38,2020,1,용산구,이촌1동,10331,2193,2293,2649,2428,570,139
39,2020,1,용산구,이촌2동,3829,1282,1067,780,510,138,35
40,2020,1,용산구,이태원1동,3758,2164,713,453,310,80,30
41,2020,1,용산구,이태원2동,4913,2628,1023,666,432,111,44
42,2020,1,용산구,서빙고동,5294,1709,1128,955,1066,350,65
43,2020,1,용산구,보광동,7640,4061,1684,997,686,164,38
44,2020,1,용산구,청파동,10930,6481,1994,1195,924,250,59
45,2020,1,용산구,원효로1동,7901,3767,1661,1248,943,227,41
46,2020,1,용산구,한강로동,9882,5604,1843,1226,924,197,62
47,2020,1,용산구,한남동,11277,6138,2337,1440,982,277,64
48,2020,1,성동구,왕십리2동,7610,2919,1732,1423,1165,270,79
49,2020,1,성동구,마장동,10864,4873,2288,1745,1469,356,90
50,2020,1,성동구,사근동,7473,5285,981,566,475,129,25
51,2020,1,성동구,행당1동,7043,2953,1492,1304,1008,210,52
52,2020,1,성동구,행당2동,9453,2373,2379,2202,1960,407,100
53,2020,1,성동구,응봉동,6163,1631,1407,1440,1304,300,61
54,2020,1,성동구,금호1가동,6630,2149,1636,1428,1094,247,63
55,2020,1,성동구,금호4가동,6424,2170,1596,1435,960,204,40
56,2020,1,성동구,성수1가1동,7581,3112,1675,1294,1191,235,56
57,2020,1,성동구,성수1가2동,6679,3033,1396,1115,868,211,44
58,2020,1,성동구,성수2가1동,8505,4132,1823,1296,976,215,49
59,2020,1,성동구,성수2가3동,5715,2955,1093,779,657,168,49
60,2020,1,성동구,송정동,5528,2769,1151,809,605,156,32
61,2020,1,성동구,용답동,6802,4046,1214,758,600,130,38
62,2020,1,성동구,왕십리도선동,11810,4449,2533,2322,1954,417,95
63,2020,1,성동구,금호2·3가동,10340,3631,2567,2136,1553,331,86
64,2020,1,성동구,옥수동,11023,3243,2833,2591,1792,428,92
65,2020,1,광진구,화양동,16383,12960,1965,741,573,101,30
66,2020,1,광진구,군자동,10813,6125,2022,1371,987,229,54
67,2020,1,광진구,중곡1동,8102,4023,1844,1175,818,184,38
68,2020,1,광진구,중곡2동,10578,4668,2416,1735,1350,316,68
69,2020,1,광진구,중곡3동,8483,4077,1914,1292,909,240,41
70,2020,1,광진구,중곡4동,13221,4935,3157,2557,1974,453,103
71,2020,1,광진구,능동,6387,3626,1312,723,522,148,44
72,2020,1,광진구,구의1동,12060,6643,2406,1562,1089,277,67
73,2020,1,광진구,구의2동,11617,4180,2586,2291,1956,452,103
74,2020,1,광진구,구의3동,12146,4089,2572,2458,2348,529,110
75,2020,1,광진구,광장동,12040,2204,1948,3017,3936,710,172
76,2020,1,광진구,자양1동,11569,5767,2435,1668,1308,308,59
