,자치구,행정동,총 외국인 수,년도,분기
0,종로구,사직동,288,2020,1
1,종로구,사직동,281,2020,2
2,종로구,사직동,280,2020,3
3,종로구,사직동,280,2020,4
4,종로구,삼청동,244,2020,1
5,종로구,삼청동,266,2020,2
6,종로구,삼청동,270,2020,3
7,종로구,삼청동,269,2020,4
8,종로구,부암동,433,2020,1
9,종로구,부암동,371,2020,2
10,종로구,부암동,339,2020,3
11,종로구,부암동,311,2020,4
12,종로구,평창동,159,2020,1
13,종로구,평창동,177,2020,2
14,종로구,평창동,187,2020,3
15,종로구,평창동,191,2020,4
16,종로구,무악동,47,2020,1
17,종로구,무악동,46,2020,2
18,종로구,무악동,45,2020,3
19,종로구,무악동,46,2020,4
20,종로구,교남동,147,2020,1
21,종로구,교남동,152,2020,2
22,종로구,교남동,154,2020,3
23,종로구,교남동,157,2020,4
24,종로구,가회동,103,2020,1
25,종로구,가회동,99,2020,2
26,종로구,가회동,94,2020,3
27,종로구,가회동,93,2020,4
28,종로구,종로1·2·3·4가동,1309,2020,1
29,종로구,종로1·2·3·4가동,1278,2020,2
30,종로구,종로1·2·3·4가동,1212,2020,3
31,종로구,종로1·2·3·4가동,1192,2020,4
32,종로구,종로5·6가동,485,2020,1
33,종로구,종로5·6가동,477,2020,2
34,종로구,종로5·6가동,459,2020,3
35,종로구,종로5·6가동,414,2020,4
36,종로구,이화동,632,2020,1
37,종로구,이화동,562,2020,2
38,종로구,이화동,550,2020,3
39,종로구,이화동,523,2020,4
40,종로구,창신1동,858,2020,1
41,종로구,창신1동,854,2020,2
42,종로구,창신1동,870,2020,3
43,종로구,창신1동,835,2020,4
44,종로구,창신2동,1273,2020,1
45,종로구,창신2동,1260,2020,2
46,종로구,창신2동,1223,2020,3
47,종로구,창신2동,1185,2020,4
48,종로구,창신3동,173,2020,1
49,종로구,창신3동,188,2020,2
50,종로구,창신3동,185,2020,3
51,종로구,창신3동,182,2020,4
52,종로구,숭인1동,334,2020,1
53,종로구,숭인1동,345,2020,2
54,종로구,숭인1동,329,2020,3
55,종로구,숭인1동,310,2020,4
56,종로구,숭인2동,457,2020,1
57,종로구,숭인2동,447,2020,2
58,종로구,숭인2동,459,2020,3
59,종로구,숭인2동,487,2020,4
60,종로구,청운효자동,237,2020,1
61,종로구,청운효자동,246,2020,2
62,종로구,청운효자동,229,2020,3
63,종로구,청운효자동,202,2020,4
64,종로구,혜화동,3588,2020,1
65,종로구,혜화동,3088,2020,2
66,종로구,혜화동,3005,2020,3
67,종로구,혜화동,2935,2020,4
68,중구,소공동,940,2020,1
69,중구,소공동,942,2020,2
70,중구,소공동,920,2020,3
71,중구,소공동,942,2020,4
72,중구,회현동,595,2020,1
73,중구,회현동,611,2020,2
74,중구,회현동,621,2020,3
75,중구,회현동,621,2020,4
76,중구,명동,668,2020,1
77,중구,명동,701,2020,2
78,중구,명동,693,2020,3
79,중구,명동,771,2020,4
80,중구,필동,962,2020,1
81,중구,필동,855,2020,2
82,중구,필동,753,2020,3
83,중구,필동,720,2020,4
84,중구,장충동,888,2020,1
85,중구,장충동,831,2020,2
86,중구,장충동,810,2020,3
87,중구,장충동,804,2020,4
88,중구,광희동,1496,2020,1
89,중구,광희동,1429,2020,2
