,년도,자치구,행정동,금융기관 수
0,2020,종로구,사직동,23
1,2020,종로구,삼청동,3
2,2020,종로구,부암동,2
3,2020,종로구,평창동,2
4,2020,종로구,무악동,1
5,2020,종로구,교남동,3
6,2020,종로구,가회동,4
7,2020,종로구,종로1·2·3·4가동,46
8,2020,종로구,종로5·6가동,8
9,2020,종로구,이화동,5
10,2020,종로구,창신1동,4
11,2020,종로구,창신2동,1
12,2020,종로구,숭인1동,1
13,2020,종로구,숭인2동,3
14,2020,종로구,청운효자동,4
15,2020,종로구,혜화동,5
16,2020,중구,소공동,32
17,2020,중구,회현동,18
18,2020,중구,명동,64
19,2020,중구,필동,9
20,2020,중구,장충동,3
21,2020,중구,광희동,17
22,2020,중구,을지로동,10
23,2020,중구,신당5동,2
24,2020,중구,황학동,6
25,2020,중구,중림동,3
26,2020,중구,신당동,5
27,2020,중구,다산동,4
28,2020,중구,약수동,2
29,2020,중구,동화동,1
30,2020,용산구,후암동,1
31,2020,용산구,남영동,6
32,2020,용산구,원효로2동,2
33,2020,용산구,효창동,1
34,2020,용산구,이촌1동,10
35,2020,용산구,이태원1동,5
36,2020,용산구,이태원2동,5
37,2020,용산구,서빙고동,1
38,2020,용산구,보광동,1
39,2020,용산구,청파동,2
40,2020,용산구,원효로1동,4
41,2020,용산구,한강로동,19
42,2020,용산구,한남동,10
43,2020,성동구,마장동,5
44,2020,성동구,사근동,3
45,2020,성동구,행당1동,5
46,2020,성동구,행당2동,2
47,2020,성동구,금호4가동,3
48,2020,성동구,성수1가1동,2
49,2020,성동구,성수1가2동,5
50,2020,성동구,성수2가1동,3
51,2020,성동구,성수2가3동,16
52,2020,성동구,용답동,2
53,2020,성동구,왕십리도선동,3
54,2020,성동구,금호2·3가동,2
55,2020,성동구,옥수동,2
56,2020,광진구,화양동,5
57,2020,광진구,군자동,6
58,2020,광진구,중곡2동,4
59,2020,광진구,중곡3동,1
60,2020,광진구,중곡4동,2
61,2020,광진구,구의1동,4
62,2020,광진구,구의2동,2
63,2020,광진구,구의3동,4
64,2020,광진구,광장동,9
65,2020,광진구,자양1동,4
66,2020,광진구,자양2동,1
67,2020,광진구,자양3동,6
68,2020,광진구,자양4동,2
69,2020,동대문구,회기동,5
70,2020,동대문구,휘경1동,1
71,2020,동대문구,휘경2동,2
72,2020,동대문구,청량리동,4
73,2020,동대문구,용신동,8
74,2020,동대문구,제기동,5
75,2020,동대문구,전농1동,2
76,2020,동대문구,전농2동,1
77,2020,동대문구,답십리2동,2
78,2020,동대문구,장안1동,10
79,2020,동대문구,장안2동,2
80,2020,동대문구,이문1동,2
81,2020,동대문구,답십리1동,5
82,2020,중랑구,면목5동,1
83,2020,중랑구,면목7동,2
84,2020,중랑구,상봉1동,1
85,2020,중랑구,상봉2동,3
86,2020,중랑구,중화1동,1
87,2020,중랑구,중화2동,3
88,2020,중랑구,묵1동,2
89,2020,중랑구,묵2동,4
90,2020,중랑구,망우3동,1
91,2020,중랑구,신내1동,2
92,2020,중랑구,신내2동,3
93,2020,중랑구,면목본동,2
94,2020,중랑구,면목3·8동,1
95,2020,중랑구,망우본동,4
96,2020,성북구,돈암2동,1
97,2020,성북구,안암동,5
98,2020,성북구,보문동,4
99,2020,성북구,정릉2동,3
100,2020,성북구,정릉3동,1
101,2020,성북구,정릉4동,3
102,2020,성북구,길음1동,4
103,2020,성북구,월곡1동,3
104,2020,성북구,월곡2동,4
105,2020,성북구,장위1동,1
106,2020,성북구,장위2동,2
107,2020,성북구,성북동,4
108,2020,성북구,삼선동,7
109,2020,성북구,동선동,4
