,년도,자치구,행정동,총 수급자 수
0,2020,종로구,사직동,109
1,2020,종로구,삼청동,31
2,2020,종로구,부암동,114
3,2020,종로구,평창동,97
4,2020,종로구,무악동,118
5,2020,종로구,교남동,170
6,2020,종로구,가회동,55
7,2020,종로구,종로1·2·3·4가동,769
8,2020,종로구,종로5·6가동,247
9,2020,종로구,이화동,213
10,2020,종로구,창신1동,397
11,2020,종로구,창신2동,357
12,2020,종로구,창신3동,160
13,2020,종로구,숭인1동,241
14,2020,종로구,숭인2동,386
15,2020,종로구,청운효자동,131
16,2020,종로구,혜화동,241
17,2020,중구,소공동,46
18,2020,중구,회현동,466
19,2020,중구,명동,76
20,2020,중구,필동,76
21,2020,중구,장충동,99
22,2020,중구,광희동,164
23,2020,중구,을지로동,125
24,2020,중구,신당5동,332
25,2020,중구,황학동,403
26,2020,중구,중림동,495
27,2020,중구,신당동,288
28,2020,중구,다산동,338
29,2020,중구,약수동,637
30,2020,중구,청구동,557
31,2020,중구,동화동,132
32,2020,용산구,후암동,602
33,2020,용산구,용산2가동,400
34,2020,용산구,남영동,"1,205"
35,2020,용산구,원효로2동,323
36,2020,용산구,효창동,85
37,2020,용산구,용문동,276
38,2020,용산구,이촌1동,38
39,2020,용산구,이촌2동,116
40,2020,용산구,이태원1동,178
41,2020,용산구,이태원2동,205
42,2020,용산구,서빙고동,231
43,2020,용산구,보광동,739
44,2020,용산구,청파동,749
45,2020,용산구,원효로1동,274
46,2020,용산구,한강로동,340
47,2020,용산구,한남동,456
48,2020,성동구,왕십리2동,374
49,2020,성동구,마장동,526
50,2020,성동구,사근동,178
51,2020,성동구,행당1동,283
52,2020,성동구,행당2동,568
53,2020,성동구,응봉동,137
54,2020,성동구,금호1가동,574
55,2020,성동구,금호4가동,318
56,2020,성동구,성수1가1동,371
57,2020,성동구,성수1가2동,195
58,2020,성동구,성수2가1동,601
59,2020,성동구,성수2가3동,198
60,2020,성동구,송정동,495
61,2020,성동구,용답동,663
62,2020,성동구,왕십리도선동,662
63,2020,성동구,금호2·3가동,548
64,2020,성동구,옥수동,350
65,2020,광진구,화양동,494
66,2020,광진구,군자동,635
67,2020,광진구,중곡1동,581
68,2020,광진구,중곡2동,564
69,2020,광진구,중곡3동,747
70,2020,광진구,중곡4동,981
71,2020,광진구,능동,230
72,2020,광진구,구의1동,616
73,2020,광진구,구의2동,707
74,2020,광진구,구의3동,369
75,2020,광진구,광장동,174
76,2020,광진구,자양1동,841
77,2020,광진구,자양2동,544
78,2020,광진구,자양3동,256
79,2020,광진구,자양4동,736
80,2020,동대문구,회기동,228
81,2020,동대문구,휘경1동,274
82,2020,동대문구,휘경2동,451
83,2020,동대문구,청량리동,"1,426"
84,2020,동대문구,용신동,"1,322"
85,2020,동대문구,제기동,"1,191"
86,2020,동대문구,전농1동,"1,386"
87,2020,동대문구,전농2동,519
88,2020,동대문구,답십리2동,922
89,2020,동대문구,장안1동,"1,074"
90,2020,동대문구,장안2동,861
91,2020,동대문구,이문1동,519
92,2020,동대문구,이문2동,662
93,2020,동대문구,답십리1동,603
94,2020,중랑구,면목2동,"1,173"
95,2020,중랑구,면목4동,"1,119"
96,2020,중랑구,면목5동,483
97,2020,중랑구,면목7동,819
98,2020,중랑구,상봉1동,"1,054"
99,2020,중랑구,상봉2동,795
100,2020,중랑구,중화1동,682
101,2020,중랑구,중화2동,"1,823"
102,2020,중랑구,묵1동,745
103,2020,중랑구,묵2동,709
104,2020,중랑구,망우3동,"1,255"
105,2020,중랑구,신내1동,"1,143"
106,2020,중랑구,신내2동,969
107,2020,중랑구,면목본동,"1,705"
108,2020,중랑구,면목3·8동,"1,281"
109,2020,중랑구,망우본동,"1,619"
110,2020,성북구,돈암1동,415
111,2020,성북구,돈암2동,267
112,2020,성북구,안암동,303
113,2020,성북구,보문동,347
114,2020,성북구,정릉1동,286
115,2020,성북구,정릉2동,493
116,2020,성북구,정릉3동,542
117,2020,성북구,정릉4동,563
118,2020,성북구,길음1동,391
119,2020,성북구,길음2동,371
120,2020,성북구,월곡1동,704
121,2020,성북구,월곡2동,554
122,2020,성북구,장위1동,"1,125"
123,2020,성북구,장위2동,653
124,2020,성북구,장위3동,403
125,2020,성북구,성북동,298
126,2020,성북구,삼선동,578
127,2020,성북구,동선동,345
128,2020,성북구,종암동,991
129,2020,성북구,석관동,"1,286"
130,2020,강북구,번1동,836
131,2020,강북구,번2동,"1,164"
132,2020,강북구,번3동,"1,738"
133,2020,강북구,수유1동,"1,028"
134,2020,강북구,수유2동,848
135,2020,강북구,수유3동,"1,100"
136,2020,강북구,삼양동,"1,174"
137,2020,강북구,미아동,891
138,2020,강북구,송중동,"1,035"
139,2020,강북구,송천동,"1,347"
140,2020,강북구,삼각산동,925
141,2020,강북구,우이동,693
142,2020,강북구,인수동,"1,332"
143,2020,도봉구,쌍문1동,805
144,2020,도봉구,쌍문2동,691
145,2020,도봉구,쌍문3동,588
146,2020,도봉구,쌍문4동,213
147,2020,도봉구,방학1동,"1,151"
148,2020,도봉구,방학2동,"1,470"
149,2020,도봉구,방학3동,263
150,2020,도봉구,창1동,439
151,2020,도봉구,창2동,733
152,2020,도봉구,창3동,803
153,2020,도봉구,창4동,254
154,2020,도봉구,창5동,406
155,2020,도봉구,도봉1동,"1,069"
156,2020,도봉구,도봉2동,752
157,2020,노원구,월계1동,682
158,2020,노원구,월계2동,"2,256"
159,2020,노원구,월계3동,"1,410"
160,2020,노원구,공릉2동,658
161,2020,노원구,하계1동,"2,115"
162,2020,노원구,하계2동,758
163,2020,노원구,중계본동,353
164,2020,노원구,중계1동,488
165,2020,노원구,중계4동,"1,344"
166,2020,노원구,상계1동,"1,175"
167,2020,노원구,상계2동,719
168,2020,노원구,상계5동,"1,197"
169,2020,노원구,상계8동,195
170,2020,노원구,상계9동,281
171,2020,노원구,상계10동,232
172,2020,노원구,상계3·4동,"1,804"
173,2020,노원구,상계6·7동,582
174,2020,노원구,중계2·3동,"3,124"
175,2020,노원구,공릉1동,"1,732"
176,2020,은평구,녹번동,"1,160"
177,2020,은평구,불광1동,"1,233"
178,2020,은평구,갈현1동,"1,241"
179,2020,은평구,갈현2동,942
180,2020,은평구,구산동,"1,001"
181,2020,은평구,대조동,"1,072"
182,2020,은평구,응암1동,723
183,2020,은평구,응암2동,726
184,2020,은평구,신사1동,667
185,2020,은평구,신사2동,714
186,2020,은평구,증산동,434
187,2020,은평구,수색동,394
188,2020,은평구,진관동,837
189,2020,은평구,불광2동,"1,521"
190,2020,은평구,응암3동,"1,250"
191,2020,은평구,역촌동,"1,514"
192,2020,서대문구,천연동,609
193,2020,서대문구,홍제1동,488
194,2020,서대문구,홍제3동,486
195,2020,서대문구,홍제2동,389
196,2020,서대문구,홍은1동,550
197,2020,서대문구,홍은2동,740
198,2020,서대문구,남가좌1동,170
199,2020,서대문구,남가좌2동,892
200,2020,서대문구,북가좌1동,304
201,2020,서대문구,북가좌2동,937
202,2020,서대문구,충현동,469
203,2020,서대문구,북아현동,443
204,2020,서대문구,신촌동,456
205,2020,서대문구,연희동,578
206,2020,마포구,용강동,311
207,2020,마포구,대흥동,369
208,2020,마포구,염리동,265
209,2020,마포구,신수동,285
210,2020,마포구,서교동,322
211,2020,마포구,합정동,467
212,2020,마포구,망원1동,505
213,2020,마포구,망원2동,369
214,2020,마포구,연남동,221
215,2020,마포구,성산1동,372
216,2020,마포구,성산2동,"1,414"
217,2020,마포구,상암동,539
218,2020,마포구,도화동,387
219,2020,마포구,서강동,215
220,2020,마포구,공덕동,815
221,2020,마포구,아현동,325
222,2020,양천구,목1동,233
223,2020,양천구,목2동,619
224,2020,양천구,목3동,674
225,2020,양천구,목4동,604
226,2020,양천구,신월1동,"1,265"
227,2020,양천구,신월2동,497
228,2020,양천구,신월3동,"1,055"
229,2020,양천구,신월4동,272
230,2020,양천구,신월5동,496
231,2020,양천구,신월6동,138
