,년도,자치구,행정동,전체종류주택합계
0,2020,종로구,사직동,2778
1,2020,종로구,삼청동,730
2,2020,종로구,부암동,3070
3,2020,종로구,평창동,5958
4,2020,종로구,무악동,2860
5,2020,종로구,교남동,3917
6,2020,종로구,가회동,1601
7,2020,종로구,종로1·2·3·4가동,1652
8,2020,종로구,종로5·6가동,1319
9,2020,종로구,이화동,2624
10,2020,종로구,창신1동,1589
11,2020,종로구,창신2동,2466
12,2020,종로구,창신3동,2150
13,2020,종로구,숭인1동,1588
14,2020,종로구,숭인2동,3358
15,2020,종로구,청운효자동,4134
16,2020,종로구,혜화동,5065
17,2020,중구,소공동,685
18,2020,중구,회현동,1744
19,2020,중구,명동,547
20,2020,중구,필동,1191
21,2020,중구,장충동,2433
22,2020,중구,광희동,1828
23,2020,중구,을지로동,422
24,2020,중구,신당5동,3376
25,2020,중구,황학동,3959
26,2020,중구,중림동,4324
27,2020,중구,신당동,2526
28,2020,중구,다산동,4507
29,2020,중구,약수동,6584
30,2020,중구,청구동,4928
31,2020,중구,동화동,3180
32,2020,용산구,후암동,5363
33,2020,용산구,용산2가동,3243
34,2020,용산구,남영동,1714
35,2020,용산구,원효로2동,4631
36,2020,용산구,효창동,3463
37,2020,용산구,용문동,4231
38,2020,용산구,이촌1동,9540
39,2020,용산구,이촌2동,3415
40,2020,용산구,이태원1동,2198
41,2020,용산구,이태원2동,3058
42,2020,용산구,서빙고동,4268
43,2020,용산구,보광동,3588
44,2020,용산구,청파동,5636
45,2020,용산구,원효로1동,5251
46,2020,용산구,한강로동,6769
47,2020,용산구,한남동,8174
48,2020,성동구,왕십리2동,5060
49,2020,성동구,마장동,6564
50,2020,성동구,사근동,3183
51,2020,성동구,행당1동,4990
52,2020,성동구,행당2동,8481
53,2020,성동구,응봉동,5322
54,2020,성동구,금호1가동,6021
55,2020,성동구,금호4가동,5223
56,2020,성동구,성수1가1동,4897
57,2020,성동구,성수1가2동,3689
58,2020,성동구,성수2가1동,4288
59,2020,성동구,성수2가3동,2944
60,2020,성동구,송정동,2331
61,2020,성동구,용답동,2504
62,2020,성동구,왕십리도선동,8480
63,2020,성동구,금호2·3가동,7453
64,2020,성동구,옥수동,9899
65,2020,광진구,화양동,5296
66,2020,광진구,군자동,4556
67,2020,광진구,중곡1동,3613
68,2020,광진구,중곡2동,4986
69,2020,광진구,중곡3동,3870
70,2020,광진구,중곡4동,7366
71,2020,광진구,능동,2531
72,2020,광진구,구의1동,5195
73,2020,광진구,구의2동,7341
74,2020,광진구,구의3동,9070
75,2020,광진구,광장동,10349
76,2020,광진구,자양1동,5398
77,2020,광진구,자양2동,7066
78,2020,광진구,자양3동,8582
79,2020,광진구,자양4동,4613
80,2020,동대문구,회기동,3115
81,2020,동대문구,휘경1동,4327
82,2020,동대문구,휘경2동,6802
83,2020,동대문구,청량리동,6209
84,2020,동대문구,용신동,8495
85,2020,동대문구,제기동,7896
86,2020,동대문구,전농1동,8308
87,2020,동대문구,전농2동,6437
88,2020,동대문구,답십리2동,9791
89,2020,동대문구,장안1동,11799
90,2020,동대문구,장안2동,9852
91,2020,동대문구,이문1동,4948
92,2020,동대문구,이문2동,6280
93,2020,동대문구,답십리1동,9261
94,2020,중랑구,면목2동,6489
95,2020,중랑구,면목4동,5408
96,2020,중랑구,면목5동,4409
97,2020,중랑구,면목7동,6204
98,2020,중랑구,상봉1동,7937
99,2020,중랑구,상봉2동,6146
100,2020,중랑구,중화1동,5691
101,2020,중랑구,중화2동,6553
102,2020,중랑구,묵1동,10805
103,2020,중랑구,묵2동,5309
104,2020,중랑구,망우3동,3604
105,2020,중랑구,신내1동,12959
106,2020,중랑구,신내2동,8440
107,2020,중랑구,면목본동,8582
108,2020,중랑구,면목3·8동,6375
109,2020,중랑구,망우본동,7453
110,2020,성북구,돈암1동,5778
111,2020,성북구,돈암2동,8240
112,2020,성북구,안암동,4022
113,2020,성북구,보문동,4580
114,2020,성북구,정릉1동,5856
115,2020,성북구,정릉2동,8211
116,2020,성북구,정릉3동,5359
117,2020,성북구,정릉4동,8993
118,2020,성북구,길음1동,11859
119,2020,성북구,길음2동,5855
120,2020,성북구,월곡1동,8267
121,2020,성북구,월곡2동,5672
122,2020,성북구,장위1동,6134
123,2020,성북구,장위2동,4120
124,2020,성북구,장위3동,6078
125,2020,성북구,성북동,5605
126,2020,성북구,삼선동,6987
127,2020,성북구,동선동,4298
128,2020,성북구,종암동,12235
129,2020,성북구,석관동,10472
130,2020,강북구,번1동,4529
131,2020,강북구,번2동,6723
132,2020,강북구,번3동,7257
133,2020,강북구,수유1동,6781
134,2020,강북구,수유2동,7243
135,2020,강북구,수유3동,5962
136,2020,강북구,삼양동,7808
137,2020,강북구,미아동,6555
138,2020,강북구,송중동,8803
139,2020,강북구,송천동,7165
140,2020,강북구,삼각산동,11376
141,2020,강북구,우이동,7122
142,2020,강북구,인수동,10128
143,2020,도봉구,쌍문1동,7530
144,2020,도봉구,쌍문2동,6473
145,2020,도봉구,쌍문3동,5022
146,2020,도봉구,쌍문4동,6835
147,2020,도봉구,방학1동,8331
148,2020,도봉구,방학2동,6149
